nim,umur,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
18013051,Di atas 20 tahun.,3,3,3,3,3,3,3,4,3,3,2,3,2,4,5
18013031,Di atas 20 tahun.,4,3,3,4,4,4,4,4,4,4,2,4,4,4,4
18013033,Di atas 20 tahun.,5,3,3,5,5,4,3,5,5,5,3,4,4,4,5
18013017,Di atas 20 tahun.,4,2,2,4,4,4,4,3,3,3,2,4,4,5,5
18013040,Di atas 20 tahun.,3,2,2,3,3,3,3,3,3,2,2,4,4,4,4
18013048,Di atas 20 tahun.,3,3,3,3,4,3,4,4,3,3,3,4,4,4,5
18013015,Di atas 20 tahun.,5,3,3,4,5,5,4,4,4,5,3,4,4,4,5
18013018,Di atas 20 tahun.,4,2,2,4,4,4,5,4,3,3,2,3,5,5,5
18013050,Di atas 20 tahun.,3,3,3,3,3,3,1,3,4,4,2,4,4,4,4
21013051,Di atas 20 tahun.,4,4,3,4,4,4,4,3,4,4,3,4,4,4,5
18013055,Di atas 20 tahun.,4,3,1,4,3,4,4,4,4,4,2,4,4,4,5
19013041,Di atas 20 tahun.,3,1,1,3,3,2,1,3,3,4,2,1,2,4,4
19013056,Di atas 20 tahun.,2,1,1,2,2,1,1,1,3,2,1,1,2,3,4
21013025,Di bawah 20 tahun.,3,3,3,3,3,3,2,4,4,4,3,4,4,4,4
20013030,Di atas 20 tahun.,2,1,1,2,1,1,1,2,2,2,1,1,2,3,3
23013083,Di atas 20 tahun.,5,5,2,4,4,4,3,5,5,4,4,4,4,5,5
19013058,Di atas 20 tahun.,3,2,1,3,3,1,1,3,3,3,2,3,3,4,3
18013008,Di atas 20 tahun.,4,4,4,3,4,3,4,4,4,4,3,4,4,4,5
18013070,Di atas 20 tahun.,2,1,1,2,2,2,1,3,2,2,1,1,1,2,3
19013061,Di atas 20 tahun.,3,1,1,3,3,3,3,3,4,3,2,4,2,4,5
21013078,Di bawah 20 tahun.,4,3,3,4,3,4,2,4,4,4,2,4,4,4,4
19013020,Di atas 20 tahun.,4,3,3,4,4,4,4,4,4,4,2,4,4,4,5
22013022,Di atas 20 tahun.,3,1,1,3,3,3,3,3,3,3,2,4,3,4,4
22013065,Di atas 20 tahun.,5,3,3,4,4,4,4,4,5,5,2,4,4,4,5
19041011,Di atas 20 tahun.,4,4,4,3,3,4,3,3,3,4,3,4,4,4,4
20013024,Di atas 20 tahun.,5,4,3,5,4,4,4,5,5,5,4,4,4,4,4
21013068,Di bawah 20 tahun.,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
19013069,Di atas 20 tahun.,4,3,2,4,4,4,4,4,5,4,4,4,2,3,4
18013080,Di atas 20 tahun.,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4
18013032,Di atas 20 tahun.,3,3,2,3,3,4,3,3,3,4,2,4,3,4,4
20013089,Di atas 20 tahun.,2,2,2,3,3,3,3,3,3,3,1,3,3,3,3
21013020,Di bawah 20 tahun.,3,2,2,3,3,2,2,3,3,3,2,3,3,3,4
22013010,Di atas 20 tahun.,3,3,3,4,4,3,3,4,4,4,2,4,4,4,4
18013075,Di atas 20 tahun.,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4
19013025,Di atas 20 tahun.,3,2,2,3,3,3,3,4,4,3,2,3,3,3,4
18013095,Di atas 20 tahun.,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4
18013098,Di atas 20 tahun.,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3
19013051,Di atas 20 tahun.,3,2,2,3,3,3,3,3,3,3,2,3,3,3,4
18013085,Di atas 20 tahun.,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4
18013084,Di atas 20 tahun.,3,2,2,3,2,2,1,3,3,4,2,4,3,4,4
21013047,Di atas 20 tahun.,5,3,3,3,4,4,4,4,4,4,3,4,4,4,4
19013083,Di atas 20 tahun.,3,5,2,3,4,4,4,3,4,4,2,4,2,4,5
23013053,Di atas 20 tahun.,3,2,1,3,3,3,3,3,3,4,2,4,2,4,4
19013085,Di atas 20 tahun.,5,3,3,3,3,2,4,4,4,4,2,4,4,4,5
18013086,Di atas 20 tahun.,4,2,2,3,3,3,3,3,3,3,3,3,3,4,4
18013087,Di atas 20 tahun.,4,3,2,4,4,4,4,4,4,4,2,4,4,4,4
18013059,Di atas 20 tahun.,4,3,3,3,3,4,4,4,4,4,2,4,4,4,5
18013054,Di atas 20 tahun.,5,3,3,4,4,4,4,3,4,4,2,2,4,4,4
18013090,Di atas 20 tahun.,3,3,2,3,4,4,4,4,4,3,2,3,3,4,4
19013091,Di atas 20 tahun.,4,3,2,3,3,3,3,4,4,4,2,4,4,4,4
20013032,Di atas 20 tahun.,2,1,1,2,2,2,2,3,3,2,1,2,2,2,3
18013093,Di atas 20 tahun.,3,3,3,3,4,4,4,4,3,3,2,4,4,4,4
21011005,Di bawah 20 tahun.,4,3,3,4,4,4,4,4,3,3,4,4,3,5,5
18013007,Di atas 20 tahun.,2,1,1,2,1,2,1,2,3,2,1,2,2,3,3
18013096,Di atas 20 tahun.,4,2,3,3,3,3,4,4,4,4,3,3,4,3,4
18013097,Di atas 20 tahun.,4,4,3,3,3,3,2,4,4,4,4,4,4,5,5
18013079,Di atas 20 tahun.,4,4,4,3,4,4,4,5,5,5,4,4,4,4,5
